Time [s],Channel 0,Channel 1
0.413469760,0,0
0.413477000,1,1
0.413480600,1,0
0.413480680,0,0
0.413613040,1,0
0.413615280,1,1
0.419051480,1,0
0.419052400,0,0
0.419058000,1,0
0.419058400,1,1
0.419071880,1,0
0.419072760,0,0
0.419091720,1,0
0.419092480,1,1
0.419115240,1,0
0.419115760,0,0
0.419141320,1,0
0.419143880,0,0
0.419155680,1,0
0.419159960,0,0
0.419188080,1,0
0.419237160,1,1
0.419279520,1,0
0.419284680,1,1
0.419296960,1,0
0.419300560,1,1
0.419313040,1,0
0.419316080,1,1
0.419360880,1,0
0.419364920,1,1
0.419369560,1,0
0.419381240,1,1
0.419455280,1,0
0.419460680,1,1
0.419520320,1,0
0.419522800,1,1
0.419536320,1,0
0.419538600,1,1
0.419743840,1,0
0.419746000,1,1
0.419887440,1,0
0.419889440,1,1
0.419903640,1,0
0.419907640,1,1
0.419918960,1,0
0.419922240,1,1
0.419935200,1,0
0.419938280,1,1
0.419950800,1,0
0.419953520,1,1
0.419966920,1,0
0.419970200,1,1
0.419982640,1,0
0.419986000,1,1
0.419998640,1,0
0.420001720,1,1
0.420014560,1,0
0.420017440,1,1
0.420030280,1,0
0.420033680,1,1
0.420046320,1,0
0.420049560,1,1
0.420061760,1,0
0.420062880,0,0
0.420064520,1,0
0.420065320,1,1
0.420078080,1,0
0.420079440,0,0
0.420080440,1,0
0.420081320,1,1
0.420093760,1,0
0.420094680,0,0
0.420096720,1,0
0.420097520,1,1
0.420108960,1,0
0.420110560,0,0
0.420112800,1,0
0.420113520,1,1
0.420125040,1,0
0.420126280,0,0
0.420128840,1,0
0.420129600,1,1
0.420140600,1,0
0.420142120,0,0
0.420144720,1,0
0.420145360,1,1
0.420153320,1,0
0.420158000,0,0
0.420160720,1,0
0.420161400,1,1
0.420169520,1,0
0.420173800,0,0
0.420176800,1,0
0.420177480,1,1
0.420183080,1,0
0.420189880,0,0
0.420192760,1,0
0.420193360,1,1
0.420199040,1,0
0.420205720,0,0
0.420208720,1,0
0.420209400,1,1
0.420214480,1,0
0.420218200,0,0
0.420221160,1,0
0.420221800,0,0
0.420224640,1,0
0.420225520,1,1
0.420230480,1,0
0.420237680,0,0
0.420240800,1,0
0.420241440,1,1
0.420245920,1,0
0.420253800,0,0
0.420256640,1,0
0.420257680,1,1
0.420261920,1,0
0.420269600,0,0
0.420272880,1,0
0.420273640,1,1
0.420277960,1,0
0.420282000,0,0
0.420288760,1,0
0.420289400,1,1
0.420293880,1,0
0.420301360,0,0
0.420304840,1,0
0.420305600,1,1
0.420309840,1,0
